"Timestamp","     What is your age?","What is your gender?","On average, how many hours do you spend on social media per day?","Which social media platforms do you use the most? (Select all that apply: Facebook, Instagram, Twitter, TikTok, etc.)","How often do you compare yourself to others on social media?","How would you rate your self-esteem on a scale of 1 to 10?","How often do you feel positive after using social media?","How often do you feel negative or stressed after using social media","How often do you feel pressured to post content on social media?","Have you ever taken a break from social media to improve your mental well-being? If yes, how long was the break?",""
"2024/06/20 4:27:25 PM EST","24","","7 to 8","Facebook;Youtube;WatsApp","Sometimes","5","Sometimes","Sometimes","Often","Yes","Female "
"2024/06/20 4:59:09 PM EST","24","Male","6-7","Facebook;WatsApp","Sometimes","2","Rarely","Sometimes","Often","Maybe",""
"2024/06/21 1:40:16 AM EST","27","Female","Probably 8-10hours","Facebook;WatsApp","Never","7","Sometimes","Sometimes","Often","Yes",""
"2024/06/21 3:20:01 AM EST","36","Female","2-3 hours","Facebook;Youtube","Never","9","Sometimes","Never","Never","Maybe",""
"2024/06/21 3:22:37 AM EST","22","Female","15 hours","Facebook;Instagram;Tiktok;Youtube;WatsApp","Never","8","Rarely","Always","Sometimes","Yes",""
"2024/06/21 3:38:12 AM EST","26","Female","10/12hours","Facebook;Instagram;Tiktok;Youtube;WatsApp","Sometimes","7","Often","Sometimes","Sometimes","No",""
"2024/06/21 3:43:20 AM EST","25","Female","4","Facebook;Instagram;Youtube;WatsApp","Sometimes","9","Always","Sometimes","Often","Yes",""
"2024/06/21 3:43:24 AM EST","23","Female","8-9hours","Facebook;Instagram;Tiktok;WatsApp","Sometimes","7","Always","Sometimes","Never","No",""
"2024/06/21 4:29:30 AM EST","31","Male","6","Facebook;Instagram;Youtube;WatsApp","All the time","8","Sometimes","Sometimes","Rarely","Yes",""
"2024/06/21 4:34:41 AM EST","27","Male","6/7","Facebook;Instagram;WatsApp","Never","8","Rarely","Sometimes","Never","Yes",""
"2024/06/21 5:07:11 AM EST","26","Female","2 hours","Facebook","Never","8","Rarely","Rarely","Often","Maybe",""
"2024/06/21 5:08:34 AM EST","17","Female","5-6 hours","Facebook;Instagram;Youtube;WatsApp","Sometimes","9","Sometimes","Often","Rarely","Yes",""
"2024/06/21 5:26:32 AM EST","22","Female","5h","Facebook","Sometimes","5","Often","Sometimes","Rarely","No",""
"2024/06/21 5:28:02 AM EST","29","Female","5/6 hours","Facebook;Youtube;WatsApp","Sometimes","8","Often","Sometimes","Rarely","Maybe",""
